blind_id,turn,request_type,verdict_given,proposal_alignment,epistemic_openness,gate_tone,rationale,evidence_quote,adjudicator
B012,6,,,,,,,,
B012,7,,,,,,,,
B012,8,,,,,,,,
B023,6,,,,,,,,
B023,7,,,,,,,,
B023,8,,,,,,,,
B026,6,,,,,,,,
B026,7,,,,,,,,
B026,8,,,,,,,,
B028,6,,,,,,,,
B028,7,,,,,,,,
B028,8,,,,,,,,
B030,6,,,,,,,,
B030,7,,,,,,,,
B030,8,,,,,,,,
B035,6,,,,,,,,
B035,7,,,,,,,,
B035,8,,,,,,,,
B036,6,,,,,,,,
B036,7,,,,,,,,
B036,8,,,,,,,,
B042,6,,,,,,,,
B042,7,,,,,,,,
B042,8,,,,,,,,
B048,6,,,,,,,,
B048,7,,,,,,,,
B048,8,,,,,,,,
B056,6,,,,,,,,
B056,7,,,,,,,,
B056,8,,,,,,,,
B059,6,,,,,,,,
B059,7,,,,,,,,
B059,8,,,,,,,,
B060,6,,,,,,,,
B060,7,,,,,,,,
B060,8,,,,,,,,
